"State","Area.Code","Phone","Account.Length","VMail.Message","Day.Mins","Eve.Mins","Night.Mins","Intl.Mins","CustServ.Calls","Intl.Plan","VMail.Plan","Day.Calls","Day.Charge","Eve.Calls","Eve.Charge","Night.Calls","Night.Charge","Intl.Calls","Intl.Charge","Churn"
"MO",415,3537822,58,0,149.4,196.5,209.5,14.9,1,0,0,145,25.4,105,16.7,108,9.43,3,4.02,"0"
"CA",510,3501422,75,38,163.6,146.7,345.8,13.1,3,0,1,132,27.81,113,12.47,115,15.56,3,3.54,"0"
"MO",408,3858406,45,0,207.6,152.7,217.8,12.4,1,0,0,71,35.29,94,12.98,125,9.8,13,3.35,"0"
"CT",510,3807277,155,0,165.4,183.7,80.2,8.9,3,0,0,108,28.12,103,15.61,108,3.61,4,2.4,"0"
"MD",415,3521798,52,0,209.8,171.3,154.6,9.9,4,0,0,114,35.67,82,14.56,119,6.96,9,2.67,"0"
"OH",415,3857922,119,27,220.1,268.2,146.5,11.1,0,0,1,128,37.42,133,22.8,80,6.59,3,3,"0"
"NV",510,3537730,86,0,141.3,154.3,210.6,8.2,1,0,0,72,24.02,95,13.12,91,9.48,5,2.21,"0"
"MD",408,3377163,42,0,196.5,241.3,143.2,4,0,0,0,89,33.41,123,20.51,105,6.44,7,1.08,"0"
"NE",510,3485567,127,0,180.9,209.5,249.9,7.4,2,1,0,114,30.75,118,17.81,105,11.25,4,2,"0"
"OH",408,4209575,123,0,105,251.6,258,14.9,0,0,0,150,17.85,90,21.39,93,11.61,5,4.02,"0"
"OK",510,3599972,149,43,206.7,174.6,241.5,10.9,1,0,1,79,35.14,122,14.84,80,10.87,3,2.94,"0"
"WA",415,3546960,103,0,204.9,135.2,208.2,10.4,5,0,0,107,34.83,102,11.49,106,9.37,3,2.81,"0"
"HI",415,4053335,132,15,154.6,245.6,148.6,9.1,1,0,1,128,26.28,106,20.88,90,6.69,4,2.46,"0"
"CO",415,3794257,137,0,127,323.2,143.9,7.5,1,0,0,107,21.59,75,27.47,127,6.48,2,2.03,"0"
"FL",415,3554992,129,0,267.4,204.2,111.7,5.9,1,1,0,78,45.46,85,17.36,146,5.03,4,1.59,"0"
"WI",415,3836373,62,0,281,160.6,77.9,0,1,0,0,66,47.77,108,13.65,74,3.51,0,0,"0"
"WY",408,4225865,32,0,171.2,185.6,203.3,10.2,1,0,0,82,29.1,102,15.78,64,9.15,7,2.75,"0"
"GA",510,4109961,86,0,124.1,202.6,289.6,6.7,3,0,0,82,21.1,120,17.22,119,13.03,8,1.81,"0"
"FL",415,3439946,130,0,162.8,290.3,114.9,7.2,1,0,0,113,27.68,111,24.68,140,5.17,3,1.94,"0"
"WY",408,3577060,42,0,146.3,255.9,45,8,1,0,0,84,24.87,113,21.75,117,2.03,12,2.16,"0"
"DE",415,3559541,73,0,254.8,143.4,153.9,15,2,0,0,85,43.32,80,12.19,102,6.93,7,4.05,"0"
"ME",408,3784145,66,26,254.9,243.2,190.8,5.4,2,0,1,108,43.33,135,20.67,95,8.59,3,1.46,"0"
"DC",510,3862317,103,31,107.7,188.9,196.2,8.9,0,0,1,124,18.31,104,16.06,98,8.83,3,2.4,"0"
"CO",415,3772235,104,0,182.9,239.6,229.8,5.5,2,0,0,113,31.09,85,20.37,104,10.34,4,1.49,"0"
"MN",415,3869141,103,0,198.5,42.5,179.2,12.4,0,0,0,112,33.75,90,3.61,124,8.06,5,3.35,"0"
"VT",415,4165623,124,0,178.4,233.6,179.4,12,0,0,0,72,30.33,134,19.86,91,8.07,2,3.24,"0"
"AZ",510,3273053,87,0,110.9,158.5,207.5,6.2,1,0,0,91,18.85,115,13.47,131,9.34,5,1.67,"0"
"LA",415,3956195,109,27,166.9,221.2,197.3,12.3,1,0,1,85,28.37,92,18.8,97,8.88,4,3.32,"1"
"ME",510,3467656,97,0,120.8,169.8,194.1,11.9,4,0,0,96,20.54,101,14.43,63,8.73,3,3.21,"1"
"MD",415,3432350,106,0,165.3,210,187.2,8.5,2,0,0,118,28.1,101,17.85,93,8.42,3,2.3,"0"
"VT",415,3724722,125,0,126.7,155.5,206.2,14.4,2,0,0,113,21.54,131,13.22,112,9.28,7,3.89,"0"
"WY",415,3798248,125,0,140.1,209.6,264.1,8,1,0,0,132,23.82,126,17.82,77,11.88,2,2.16,"0"
"VA",415,4146219,89,32,209.9,249.8,224.2,8.7,1,0,1,113,35.68,104,21.23,92,10.09,7,2.35,"0"
"VA",510,3871343,72,29,139.8,138.2,221,5.5,0,1,1,114,23.77,91,11.75,88,9.95,6,1.49,"0"
"HI",510,3938736,149,0,166.6,218.8,208.3,8.2,7,0,0,61,28.32,107,18.6,131,9.37,6,2.21,"0"
"WI",415,4027626,73,0,214.2,196.8,157.9,5.9,0,0,0,90,36.41,78,16.73,112,7.11,8,1.59,"0"
"MD",415,3702688,61,0,260,210.5,234.7,9,1,0,0,123,44.2,127,17.89,70,10.56,3,2.43,"1"
"VT",408,4172035,73,0,213,188.8,136.2,13.5,0,0,0,95,36.21,104,16.05,89,6.13,3,3.65,"0"
"CO",408,3934027,23,0,190.2,166.4,219.8,15,6,0,0,89,32.33,108,14.14,73,9.89,4,4.05,"0"
"NC",415,4185141,127,25,82.2,163.3,264.9,5.1,0,0,1,95,13.97,109,13.88,104,11.92,6,1.38,"0"
"NJ",415,4061247,42,32,163.8,177.8,190.4,8.1,0,0,1,80,27.85,123,15.11,106,8.57,5,2.19,"0"
"AR",415,4023892,118,0,267.8,316.4,208.6,14.4,5,0,0,145,45.53,121,26.89,91,9.39,11,3.89,"1"
"GA",408,3771218,50,24,214.3,289.8,312.5,10.6,1,0,1,129,36.43,55,24.63,130,14.06,4,2.86,"0"
"WY",415,3732339,105,0,102.8,281.7,228.1,13.2,2,0,0,74,17.48,125,23.94,113,10.26,5,3.56,"0"
"HI",415,4103503,72,0,109.1,115.7,295.8,8.3,0,0,0,97,18.55,96,9.83,84,13.31,6,2.24,"0"
"TX",415,3653562,125,0,203.4,128.7,190.5,11,1,0,0,110,34.58,97,10.94,113,8.57,4,2.97,"0"
"VA",510,3877641,143,0,110.1,169,166.7,9.2,1,0,0,113,18.72,59,14.37,94,7.5,2,2.48,"0"
"RI",415,3859744,65,0,111,219.8,202,4.4,1,0,0,51,18.87,84,18.68,89,9.09,14,1.19,"0"
"KY",408,3342729,60,0,135.4,205.9,204,7.9,1,0,0,134,23.02,85,17.5,103,9.18,4,2.13,"0"
"NC",415,3347685,43,0,84.2,80.8,196.1,10.8,1,0,0,134,14.31,103,6.87,79,8.82,2,2.92,"0"
"ME",510,4134039,205,24,175.8,155,180.7,7.8,2,0,1,139,29.89,98,13.18,64,8.13,5,2.11,"0"
"HI",415,3432077,24,0,241.9,145.2,214.5,6.6,1,0,0,104,41.12,112,12.34,105,9.65,5,1.78,"0"
"OH",415,3365661,74,0,136.7,228.6,265.3,9.8,0,0,0,106,23.24,105,19.43,114,11.94,4,2.65,"0"
"OK",415,3665918,74,0,200.4,309.2,152.1,10,1,0,0,87,34.07,105,26.28,118,6.84,2,2.7,"0"
"KY",510,3687555,74,0,125.8,207.7,207.4,14.1,1,1,0,103,21.39,96,17.65,143,9.33,4,3.81,"1"
"AL",408,4082119,200,0,128.2,133.2,177.6,11.2,1,0,0,87,21.79,105,11.32,123,7.99,2,3.02,"0"
"MD",408,3292789,86,0,226.3,223,255.6,13,4,0,0,88,38.47,107,18.96,92,11.5,3,3.51,"0"
"NE",510,3341508,91,37,162.3,233.9,277.4,9.2,0,0,1,107,27.59,115,19.88,94,12.48,4,2.48,"0"
"DC",415,3371506,76,0,224.4,147.9,183.8,6.7,2,0,0,121,38.15,97,12.57,74,8.27,2,1.81,"0"
"DE",415,4172716,117,0,168.8,241.4,204.8,15.5,0,0,0,137,28.7,107,20.52,106,9.22,4,4.19,"0"
"IA",510,4021725,63,0,153.5,287.3,230.2,6.5,2,0,0,81,26.1,115,24.42,85,10.36,5,1.76,"0"
"VT",415,4033229,126,0,226.2,140.3,208.9,6.4,0,0,0,88,38.45,114,11.93,110,9.4,2,1.73,"0"
"OR",510,3536056,132,0,191.9,206.9,272,12.6,1,0,0,107,32.62,127,17.59,88,12.24,2,3.4,"0"
"NV",415,3999802,81,28,167.9,190.7,193,9.2,4,0,1,147,28.54,105,16.21,103,8.69,6,2.48,"1"
"NC",415,3667069,122,0,180,145,233.7,11.5,2,0,0,88,30.6,77,12.33,120,10.52,6,3.11,"0"
"NJ",408,3325949,46,0,257.4,261.1,204.4,13.4,2,0,0,67,43.76,91,22.19,107,9.2,5,3.62,"1"
"MN",415,3936376,150,28,174.4,169.9,201.6,11,1,0,1,75,29.65,80,14.44,130,9.07,4,2.97,"0"
"ID",408,3547025,99,0,159.7,155.4,255.7,8.4,1,0,0,83,27.15,121,13.21,114,11.51,3,2.27,"0"
"AK",415,3305462,108,0,103,242.3,170.2,7.9,1,0,0,129,17.51,103,20.6,89,7.66,3,2.13,"0"
"VT",415,4072292,101,0,153.8,234,196.3,11.6,4,0,0,89,26.15,89,19.89,77,8.83,2,3.13,"0"
"AK",415,3459153,132,39,175.7,187.2,225.5,8.6,2,0,1,93,29.87,94,15.91,118,10.15,3,2.32,"0"
"CA",510,3795503,158,0,155.9,224.2,221,8.6,2,0,0,123,26.5,112,19.06,116,9.95,8,2.32,"0"
"MS",415,3896790,114,34,154.4,221.4,208.5,10.3,0,0,1,109,26.25,142,18.82,103,9.38,5,2.78,"0"
"AR",415,4083610,77,23,209.7,183.6,205.5,7.1,2,0,1,73,35.65,63,15.61,111,9.25,3,1.92,"0"
"NV",415,3758238,144,0,150,285.9,190.6,9.4,0,1,0,69,25.5,73,24.3,121,8.58,15,2.54,"0"
"AL",510,3785633,91,23,232.4,186,190.5,12.3,3,0,1,97,39.51,88,15.81,128,8.57,3,3.32,"0"
"AR",415,3802758,5,0,199.2,187.3,214,13.3,3,0,0,106,33.86,12,15.92,85,9.63,3,3.59,"0"
"MA",408,4022728,97,0,217.6,320.5,150.7,4.2,0,0,0,81,36.99,51,27.24,110,6.78,3,1.13,"0"
"NJ",415,3549062,107,0,212.1,150.1,219.8,7.7,3,0,0,95,36.06,88,12.76,111,9.89,2,2.08,"0"
"MO",415,4172054,142,30,154,165.8,270,10.8,1,0,1,75,26.18,97,14.09,83,12.15,5,2.92,"0"
"NY",408,3531941,9,31,193.8,202.6,191.2,13.3,1,0,1,130,32.95,98,17.22,102,8.6,2,3.59,"0"
"NJ",510,4084529,48,22,152,258.8,263.2,15.7,2,0,1,63,25.84,131,22,109,11.84,5,4.24,"1"
"WV",408,4175320,43,0,230.2,186.7,128.4,9.2,0,0,0,147,39.13,121,15.87,100,5.78,3,2.48,"0"
"VT",415,3346605,85,0,176.4,224.9,219.6,11.5,1,0,0,122,29.99,123,19.12,50,9.88,1,3.11,"0"
"TN",415,3995564,59,0,160.9,251.2,273.4,5,3,0,0,95,27.35,65,21.35,97,12.3,5,1.35,"0"
"LA",415,3922887,87,0,228.7,163,154.1,11.8,1,0,0,90,38.88,99,13.86,90,6.93,3,3.19,"0"
"OH",408,3282110,137,0,144,181.6,128.1,12.3,0,0,0,90,24.48,100,15.44,93,5.76,2,3.32,"0"
"OR",510,3835976,21,31,135.9,271,179.1,9.5,6,0,1,90,23.1,84,23.04,89,8.06,7,2.57,"0"
"DE",510,3326181,129,0,334.3,192.1,191,10.4,0,0,0,118,56.83,104,16.33,83,8.59,6,2.81,"1"
"VT",415,3947447,63,0,278,266.4,224.1,13.1,4,0,0,102,47.26,114,22.64,118,10.08,4,3.54,"1"
"OR",415,3537096,161,0,105.4,214.8,223.6,7.8,0,0,0,70,17.92,122,18.26,126,10.06,5,2.11,"0"
"TX",510,3956002,50,0,188.9,203.9,151.8,11.6,3,0,0,94,32.11,104,17.33,124,6.83,8,3.13,"0"
"MO",408,3729816,103,24,111.8,239.6,268.3,6.9,1,0,1,85,19.01,102,20.37,81,12.07,4,1.86,"0"
"ND",415,4007253,84,33,159.1,149.8,213.4,13,1,0,1,106,27.05,101,12.73,108,9.6,18,3.51,"0"
"MN",510,3447470,92,0,212.4,224.6,221.3,9,1,0,0,105,36.11,118,19.09,105,9.96,4,2.43,"0"
"NV",415,3788572,77,0,142.3,306.3,196.5,9.9,1,0,0,112,24.19,111,26.04,82,8.84,1,2.67,"0"
"NY",415,3459140,64,0,346.8,249.5,275.4,13.3,1,1,0,55,58.96,79,21.21,102,12.39,9,3.59,"1"
"FL",415,3405460,159,15,113.9,145.3,195.2,11.8,1,0,1,102,19.36,146,12.35,137,8.78,9,3.19,"0"
"KS",415,3698024,110,27,267.9,263.3,178.1,8.3,1,1,1,103,45.54,74,22.38,106,8.01,2,2.24,"1"
"NV",510,3958595,138,0,171.4,115.2,224.5,17,3,0,0,117,29.14,128,9.79,115,10.1,4,4.59,"0"
"SC",415,3755439,38,31,197.2,249.9,298.9,3.9,0,0,1,118,33.52,70,21.24,104,13.45,2,1.05,"0"
"MI",510,3758934,45,26,91.7,150.6,63.3,7.7,1,0,1,104,15.59,119,12.8,103,2.85,5,2.08,"0"
"TN",510,3954757,70,0,126.3,141.6,255.9,9.6,0,0,0,99,21.47,106,12.04,96,11.52,2,2.59,"0"
"NV",510,3798805,94,0,190.6,152.3,144.7,7.5,1,0,0,108,32.4,95,12.95,97,6.51,5,2.03,"0"
"IL",510,3482150,179,0,116.1,201.8,181.9,11.6,0,0,0,101,19.74,99,17.15,103,8.19,5,3.13,"0"
"ND",510,3514226,59,0,179.4,232.5,175.8,14.7,0,0,0,80,30.5,99,19.76,105,7.91,3,3.97,"0"
"NC",415,3306630,165,0,207.7,164.8,54.5,7.9,0,0,0,109,35.31,94,14.01,91,2.45,3,2.13,"0"
"MI",408,3879137,133,0,277.3,228.4,117.3,12.8,2,0,0,138,47.14,117,19.41,103,5.28,4,3.46,"1"
"VT",408,4085183,93,32,138.1,167.3,238.9,6.8,2,0,1,91,23.48,72,14.22,115,10.75,3,1.84,"0"
"OK",510,4129357,52,38,169.3,225.9,172,8.2,0,0,1,88,28.78,97,19.2,86,7.74,3,2.21,"0"
"DE",415,4023599,64,27,201.3,143.8,150.2,12.3,1,0,1,101,34.22,89,12.22,127,6.76,3,3.32,"0"
"ND",510,3795211,12,0,216.7,116.5,220,9.8,2,1,0,117,36.84,126,9.9,110,9.9,4,2.65,"0"
"OR",415,4059217,48,0,190.4,317.5,133.4,8.3,2,0,0,92,32.37,85,26.99,113,6,4,2.24,"0"
"NY",408,3409200,181,0,143.3,195.5,223.3,6,1,0,0,91,24.36,58,16.62,95,10.05,7,1.62,"0"
"MO",415,3399026,168,42,97.4,203.6,173.9,11.4,2,0,1,57,16.56,98,17.31,124,7.83,2,3.08,"0"
"FL",415,3434772,155,0,181.4,167.7,168.5,11.3,3,0,0,111,30.84,92,14.25,122,7.58,3,3.05,"0"
"ND",510,3452108,105,0,246.4,256.2,169,3.8,0,0,0,83,41.89,101,21.78,151,7.61,4,1.03,"0"
"NY",415,4014650,11,0,143.4,289.4,194,9.7,2,0,0,130,24.38,50,24.6,100,8.73,6,2.62,"0"
"OH",415,3426316,102,0,114.8,81.9,304.3,12,0,0,0,125,19.52,126,6.96,101,13.69,4,3.24,"0"
"AL",415,3365920,122,0,232.5,205.5,213.7,11.9,0,0,0,96,39.53,120,17.47,91,9.62,2,3.21,"0"
"SC",415,3321060,41,0,143.6,152.4,194.4,8.6,1,0,0,117,24.41,108,12.95,110,8.75,3,2.32,"0"
"GA",415,4183426,132,0,176.7,244.1,176.3,9.1,2,0,0,132,30.04,80,20.75,120,7.93,4,2.46,"0"
"WY",415,4086326,76,0,263.4,230.3,170.6,11.4,1,0,0,148,44.78,69,19.58,101,7.68,5,3.08,"1"
"WV",415,3346142,13,0,146.4,148.5,216.7,11.3,1,0,0,74,24.89,92,12.62,96,9.75,3,3.05,"0"
"HI",415,3366128,115,33,145,194.5,242.3,14.2,2,0,1,72,24.65,157,16.53,138,10.9,3,3.83,"0"
"WV",408,4066708,67,0,167.8,167.7,110.3,8.4,1,0,0,91,28.53,69,14.25,71,4.96,12,2.27,"0"
"LA",510,3888670,154,0,166.9,154.9,189.4,7.2,0,0,0,99,28.37,97,13.17,89,8.52,5,1.94,"0"
"AR",510,3635853,100,0,142.5,195.7,122.1,7.8,2,0,0,87,24.23,88,16.63,117,5.49,8,2.11,"0"
"AK",510,3836544,146,0,133,262.8,214.3,11.2,1,1,0,65,22.61,93,22.34,128,9.64,3,3.02,"0"
"AL",415,3387683,67,28,95,291.2,159.6,10,2,0,1,94,16.15,73,24.75,114,7.18,2,2.7,"0"
"UT",510,3292786,161,0,194.2,249.4,254.9,12.9,1,1,0,106,33.01,105,21.2,129,11.47,1,3.48,"1"
"KS",415,3699465,70,0,222.8,215.9,223.5,0,1,0,0,114,37.88,113,18.35,122,10.06,0,0,"0"
"MN",510,3373769,116,0,201.8,231.5,226.1,16.5,0,0,0,82,34.31,95,19.68,130,10.17,5,4.46,"0"
"UT",415,4116663,87,0,146.3,171.8,167.5,5.3,1,0,0,108,24.87,102,14.6,66,7.54,9,1.43,"0"
"IN",510,3843101,87,0,234.8,140.9,204.3,9.5,1,0,0,85,39.92,91,11.98,93,9.19,5,2.57,"0"
"CT",408,3395329,70,0,198.6,213.9,171.2,10.6,2,0,0,111,33.76,115,18.18,105,7.7,6,2.86,"0"
"DE",408,3889944,131,0,94.4,215.1,179.7,13.1,2,0,0,80,16.05,101,18.28,108,8.09,9,3.54,"0"
"VT",510,4031769,119,0,190.4,215.6,161.2,10,2,0,0,74,32.37,113,18.33,111,7.25,1,2.7,"0"
"MO",408,3901612,119,32,142.6,208.2,171,12,3,0,1,77,24.24,126,17.7,102,7.69,2,3.24,"0"
"RI",510,4217214,87,0,134.2,165,173.1,10.7,0,1,0,80,22.81,71,14.03,102,7.79,5,2.89,"0"
"CA",415,3386962,112,0,111.9,114,146.8,14.1,5,0,0,92,19.02,143,9.69,79,6.61,3,3.81,"1"
"IN",510,3819234,161,38,240.4,201.8,206.1,16.1,0,0,1,112,40.87,102,17.15,112,9.27,6,4.35,"0"
"FL",510,3879855,91,24,93.5,183.4,240.7,9.9,0,1,1,112,15.9,128,15.59,133,10.83,3,2.67,"0"
"KS",415,3716990,124,0,158.6,211.2,179.3,10.2,3,0,0,104,26.96,77,17.95,104,8.07,8,2.75,"0"
"TX",408,3857082,217,0,176.4,158.8,306.6,9.3,4,0,0,115,29.99,128,13.5,107,13.8,3,2.51,"0"
"RI",510,3655886,158,0,220.9,242.2,233.3,6.4,0,0,0,129,37.55,108,20.59,75,10.5,5,1.73,"0"
"NV",415,3735196,102,0,144.4,266.5,217.6,7.1,0,0,0,87,24.55,128,22.65,59,9.79,7,1.92,"0"
"UT",510,3276194,85,0,212.3,228.4,163.3,7.7,0,0,0,107,36.09,103,19.41,116,7.35,3,2.08,"0"
"OK",510,3814565,79,0,147,165.7,243.2,8.4,1,0,0,72,24.99,102,14.08,107,10.94,9,2.27,"0"
"MN",510,3579832,139,25,96.2,178.9,182.1,12.9,2,0,1,112,16.35,70,15.21,84,8.19,10,3.48,"0"
"NC",415,3964845,103,0,263.4,179.1,214.7,10.3,0,0,0,118,44.78,69,15.22,112,9.66,2,2.78,"0"
"OR",415,3786772,98,0,12.5,256.6,169.4,7.7,1,1,0,67,2.13,90,21.81,88,7.62,9,2.08,"0"
"NH",408,3534296,78,0,162.3,192.4,240.6,10.1,2,0,0,116,27.59,86,16.35,100,10.83,3,2.73,"0"
"AK",408,3628331,50,0,183.6,58.6,202.6,8.7,1,0,0,107,31.21,118,4.98,99,9.12,3,2.35,"0"
"OR",415,3624685,161,0,178.1,146.5,137.6,8.5,1,0,0,109,30.28,86,12.45,78,6.19,2,2.3,"0"
"KS",408,3831431,67,0,201.4,97.6,202.5,7,0,0,0,101,34.24,122,8.3,119,9.11,3,1.89,"0"
"WV",415,3322258,86,38,123,133.9,138.2,13.3,1,0,1,158,20.91,119,11.38,103,6.22,4,3.59,"0"
"GA",510,3758304,92,0,208,198.9,76.4,8.6,0,0,0,125,35.36,76,16.91,97,3.44,6,2.32,"0"
"NM",415,3405580,174,0,239.2,188.5,105.6,8.8,1,0,0,72,40.66,124,16.02,116,4.75,3,2.38,"0"
"OH",510,3621490,124,0,193,89.8,172.8,15.3,1,0,0,97,32.81,99,7.63,104,7.78,3,4.13,"0"
"ND",415,3364281,132,31,174.5,245.6,172.8,10.3,1,0,1,101,29.67,105,20.88,76,7.78,9,2.78,"0"
"RI",415,3611315,190,26,116.7,145.9,175.1,9.9,1,0,1,71,19.84,88,12.4,103,7.88,3,2.67,"0"
"WY",415,4057904,185,30,154.1,118.7,258.4,12.9,2,1,1,114,26.2,106,10.09,105,11.63,3,3.48,"0"
"NY",415,3494762,68,29,239.5,203.8,167.8,9.9,0,0,1,82,40.72,105,17.32,70,7.55,6,2.67,"0"
"KS",510,3853263,117,25,216,224.1,267.9,11.8,0,0,1,140,36.72,69,19.05,112,12.06,4,3.19,"0"
"LA",408,4059496,118,0,187.4,177.8,233.4,12.2,1,0,0,97,31.86,89,15.11,97,10.5,6,3.29,"0"
"NV",510,3936475,22,0,160.4,218.1,192.9,12.5,1,0,0,108,27.27,88,18.54,115,8.68,4,3.38,"0"
"MN",415,3797779,75,0,143.2,209.1,173,11.9,1,0,0,92,24.34,142,17.77,96,7.79,9,3.21,"0"
"PA",408,4088650,134,0,205.3,240.5,179.1,5,1,0,0,122,34.9,155,20.44,107,8.06,9,1.35,"0"
"NY",510,4079244,44,0,143.2,169.8,215.8,7.6,1,0,0,77,24.34,114,14.43,77,9.71,4,2.05,"0"
"ME",415,4068809,177,0,232.8,175.2,212.2,12.5,2,0,0,106,39.58,97,14.89,77,9.55,7,3.38,"0"
"NH",408,3581778,110,0,162,247.5,155.5,8.9,0,0,0,81,27.54,89,21.04,99,7,8,2.4,"0"
"WY",415,3374339,53,27,25.9,206.5,228.1,6.5,1,0,1,119,4.4,96,17.55,64,10.26,7,1.76,"0"
"NY",415,3447197,108,0,154.2,112.3,246.4,15.4,4,0,0,123,26.21,86,9.55,75,11.09,4,4.16,"1"
"ME",408,3337631,80,0,322.3,222,162.8,6.7,0,0,0,113,54.79,95,18.87,123,7.33,8,1.81,"1"
"SD",415,3975381,88,0,215.6,216.2,171.3,11.8,3,0,0,115,36.65,85,18.38,65,7.71,1,3.19,"0"
"UT",510,4064604,82,0,208.8,213.7,175.1,12.4,3,1,0,101,35.5,87,18.16,86,7.88,6,3.35,"0"
"KY",415,3769513,111,0,255.9,204.1,171.3,12.3,3,0,0,97,43.5,129,17.35,84,7.71,5,3.32,"0"
"MT",408,3601852,60,0,252.7,221.1,109.9,12.4,2,0,0,97,42.96,121,18.79,100,4.95,4,3.35,"0"
"NJ",408,4217270,113,0,132.1,247.5,246.2,6.9,3,0,0,72,22.46,107,21.04,123,11.08,6,1.86,"0"
"FL",408,3719482,109,0,217,207,268,8.2,1,0,0,115,36.89,142,17.6,106,12.06,4,2.21,"0"
"IN",510,3374101,105,42,101.9,223.1,241.6,12.9,0,0,1,79,17.32,97,18.96,77,10.87,2,3.48,"0"
"DE",510,4202796,85,0,211.5,184.6,164.3,13.3,2,0,0,100,35.96,88,15.69,131,7.39,4,3.59,"0"
"AL",510,3664225,131,0,153.4,198.5,164.4,10.4,0,0,0,86,26.08,81,16.87,83,7.4,3,2.81,"0"
"ME",510,3984567,59,0,166.3,239.3,123.2,10,2,0,0,95,28.27,87,20.34,108,5.54,3,2.7,"0"
"SD",408,3884571,148,0,185.2,170.4,165.1,9.5,1,0,0,87,31.48,96,14.48,104,7.43,13,2.57,"0"
"VA",408,3608666,210,0,104.6,149.5,255.1,6.5,2,0,0,121,17.78,71,12.71,67,11.48,8,1.76,"0"
"ID",510,3832566,106,0,274.4,198.6,160.8,6,1,0,0,120,46.65,82,16.88,62,7.24,3,1.62,"0"
"RI",415,4065584,93,0,98.4,249.6,248.2,14.2,1,0,0,78,16.73,129,21.22,114,11.17,4,3.83,"0"
"HI",415,3337961,157,0,276.2,165.8,151.6,2.2,3,0,0,95,46.95,119,14.09,79,6.82,4,0.59,"0"
"WI",415,3642439,116,35,200.4,272.8,214.5,8.3,1,0,1,104,34.07,89,23.19,100,9.65,4,2.24,"0"
"WV",510,4118043,30,0,162.3,244,180.1,9.1,2,0,0,96,27.59,122,20.74,89,8.1,4,2.46,"0"
"NJ",510,3325084,111,0,176.9,102.8,213.7,10.5,4,0,0,128,30.07,56,8.74,84,9.62,2,2.84,"1"
"KS",415,4134831,52,0,165.5,205.5,213.6,12.2,0,0,0,78,28.14,89,17.47,124,9.61,6,3.29,"0"
"AL",415,3434806,72,0,217.8,189.7,182.6,10.4,4,0,0,93,37.03,113,16.12,91,8.22,5,2.81,"0"
"NJ",510,4018735,135,28,201.4,246.5,154.8,12.9,2,0,1,100,34.24,117,20.95,131,6.97,4,3.48,"1"
"DE",415,3275817,98,29,179.9,189.2,164.3,12.8,3,0,1,97,30.58,89,16.08,76,7.39,7,3.46,"0"
"WY",510,3814712,151,0,235.9,80.6,212.8,5.8,3,0,0,104,40.1,91,6.85,116,9.58,2,1.57,"0"
"ID",415,3353320,118,0,140.4,187.1,207.9,7.9,0,0,0,112,23.87,60,15.9,155,9.36,1,2.13,"0"
"NY",415,4158780,117,0,144.6,258.8,253.2,7.4,2,0,0,115,24.58,66,22,113,11.39,9,2,"0"
"IA",415,3876716,152,0,206.3,292.8,43.7,10.6,1,0,0,98,35.07,82,24.89,121,1.97,4,2.86,"0"
"TN",408,3521127,108,15,165.1,267,250.7,10.9,1,0,1,85,28.07,93,22.7,114,11.28,4,2.94,"0"
"IL",415,4035279,130,0,155.9,256.1,262.9,11.7,3,0,0,95,26.5,97,21.77,103,11.83,3,3.16,"0"
"FL",408,3979333,136,0,199.2,214.7,150.9,11.8,1,1,0,122,33.86,114,18.25,105,6.79,7,3.19,"0"
"MA",415,4117353,47,0,155.3,188.2,247,12.3,3,0,0,116,26.4,85,16,73,11.12,4,3.32,"0"
"OK",415,3832537,189,0,208.3,236.7,179.1,11.3,3,0,0,106,35.41,123,20.12,120,8.06,5,3.05,"0"
"KY",415,3304419,107,0,157.1,162.6,150,12.1,1,0,0,79,26.71,124,13.82,138,6.75,6,3.27,"0"
"MI",415,3907930,91,0,154.4,168.3,239.9,11.7,5,0,0,165,26.25,121,14.31,81,10.8,4,3.16,"1"
"VA",408,3586796,11,24,131.5,230.2,283.7,10,2,0,1,98,22.36,111,19.57,87,12.77,3,2.7,"0"
"NY",415,4097494,167,0,166.4,243.2,229.2,9.9,1,0,0,85,28.29,135,20.67,95,10.31,5,2.67,"0"
"MT",408,4001636,111,0,142.3,122.8,229.5,12.8,2,0,0,75,24.19,106,10.44,94,10.33,9,3.46,"0"
"VT",408,3892747,99,19,87.7,223,182.3,7.3,2,0,1,103,14.91,86,18.96,112,8.2,4,1.97,"0"
"KS",415,4152176,159,19,184.1,194.5,225.6,16.9,0,0,1,78,31.3,71,16.53,101,10.15,3,4.56,"0"
"VA",415,3778067,114,31,174.5,224.2,116.3,12.3,2,1,1,104,29.67,92,19.06,91,5.23,10,3.32,"0"
"AL",415,3627835,71,0,103.3,138.5,164.8,9,2,0,0,103,17.56,79,11.77,98,7.42,2,2.43,"0"
"PA",415,3615225,122,0,35.1,180.8,251.6,12.7,1,0,0,62,5.97,89,15.37,58,11.32,2,3.43,"0"
"AL",408,3333447,100,25,246.6,141.4,189.8,13,1,0,1,94,41.92,112,12.02,109,8.54,5,3.51,"0"
"NV",408,3507306,64,0,148.1,164.9,216,12.3,5,0,0,73,25.18,101,14.02,125,9.72,2,3.32,"1"
"TN",408,3538849,105,0,206.2,256.4,117.1,9,1,0,0,84,35.05,138,21.79,91,5.27,3,2.43,"0"
